,kind,artistName,Podcaster_url,Url_Type,Email/Contact,Priority
0,podcast,Mac Prichard,https://www.macslist.org/author/mac,Personal Website/other, support@macslist.org,Low
1,podcast,Stephanie Dennis,https://www.linkedin.com/in/stephaniedennis,LinkedIn,https://www.linkedin.com/in/stephaniedennis,Low
2,podcast,Manager Tools,https://www.manager-tools.com/,Personal Website/other,customerservice@manager-tools.com,Low
3,podcast,"Jenny Blake — Author, Speaker, Career & Business Strategist","https://jenny-blake-me.squarespace.com/about#:~:text=Jenny%20Blake%20is%20an%20author,sustainable%2C%20dynamic%20careers%20they%20love.",Personal Website/other,,Low
4,podcast,"Classy Career Girl International, LLC",https://www.classycareergirl.com/,Personal Website/other,info@classycareergirl.com,High
5,podcast,Scott Anthony Barlow,https://www.happentoyourcareer.com/scott-barlow/,Personal Website/other,Scott@happentoyourcareer.com,High
6,podcast,Dayvon Goddard: Your Job Interview and Resume Coach,https://podcasts.apple.com/ca/podcast/7-minute-job-interview-podcast-job-interview-tips-resume/id1197760653?l=fr,Apple Podcast,,Low
7,podcast,"Career Coach Jessica Smith presents Career Advice, Interview Prep, Personal Branding and Job Hunting Skills",https://podcasts.apple.com/us/podcast/career-coaching-with-jessness/id1083527299,Apple Podcast,,Low
8,podcast,Jena Viviano: Career Strategist & CEO,https://jenaviviano.com/,Personal Website/other,jena@jenaviviano.com,High
9,podcast,JT O'Donnell,https://www.linkedin.com/in/jtodonnell,LinkedIn,https://www.linkedin.com/in/jtodonnell,Low
10,podcast,Marc Miller - Career Designer for Career Pivot,https://careerpivot.com/,Personal Website/other, ,Low
11,podcast,SuperDataScience Podcast - Skyrocket Your Career,"https://open.spotify.com/show/1n8P7ZSgfVLVJ3GegxPat1#:~:text=By%20SuperDataScience%20Podcast%20%2D%20Skyrocket%20Your,successful%20career%20in%20Data%20Science.&text=This%20podcast%20can%20help%20you%20learn%20how%20to%20skyrocket%20your%20analytics%20career.",Spotify Podcast,,Low
12,podcast,"G.D.Lengacher: Life Coach for Post-Divorce Healing, Finances, Career Choices",https://podcasts.apple.com/ie/podcast/surviving-divorce-podcast-hope-healing-recovery-personal/id552276825,Apple Podcast,,Low
13,podcast,CareerCloud.com,https://www.careercloud.com/,Personal Website/other, ,Low
14,podcast,"Stephan Bugaj, Justin Sloan, Kevin Tumlinson",https://www.listennotes.com/sv/podcasts/creative-writing-career-stephan-bugaj-42_mwjhCrFa/,Personal Website/other, ,Low
15,podcast,"Resource Options International, Inc. | Executive Recruiting | Middle Market | CEO Career Journeys",https://player.fm/podcasts/resource-options-international-inc-executive-recruiting-middle-market-ceo-career-journeys,Personal Website/other,support@player.fm,Low
16,podcast,"Alex Barker: Leader, Career Strategist, Blogger, and Mastermind | Insights on Leadership, Career, Company Culture, Business, Coaching, Family, Finance, and Proactive Lifestyle",https://podcasts.apple.com/gb/podcast/alex-barker/id712266381,Apple Podcast,,Low
17,podcast,Anthony Fasano,https://en.wikipedia.org/wiki/Anthony_Fasano,Wikipedia,,Low
18,podcast,Psychology podcast host Amy Felman,https://weallwearitdifferently.com/,Personal Website/other, ,Low
19,podcast,"Bryan Kesler, Accountant and Accounting Career Guide",https://podcasts.apple.com/us/podcast/cpa-guide-podcast-cpa-exam-big-four-firm-public-accounting/id898894028,Apple Podcast,,Low
20,podcast,Elizabeth Scala,https://elizabethscala.com/,Personal Website/other,support@elizabethscala.com,Low
21,podcast,Michelle Linane: Yoga Teacher & Career Coach,http://www.loveteachingyoga.com/,Personal Website/other,info@loveteachingyoga.com,High
22,podcast,"College Central Network, Inc.",https://www.collegecentral.com/,Personal Website/other, ,Low
23,podcast,Captain George Nolly,https://karlenepetitt.blogspot.com/2013/09/captain-george-nolly.html,Personal Website/other, ,Low
24,podcast,"Dr. Marie McNeely, featuring top scientists speaking about their life and c",https://podcasts.apple.com/gb/podcast/people-behind-science-podcast-stories-from-scientists/id858218890,Apple Podcast,,Low
25,podcast,Ignite Your Acting Career,https://podcasts.apple.com/us/podcast/ignite-your-acting-career/id962091786,Apple Podcast,,Low
26,podcast,Joseph Liu,https://josephliu.co/,Personal Website/other, ,Low
27,podcast,Nathan Lively - Online Courses for Live Sound Engineers ?,https://www.sounddesignlive.com/best-free-and-paid-online-training-webinars-courses-and-certifications-for-live-sound-engineers/,Personal Website/other, ,Low
28,podcast,Megan Bruneau,https://meganbruneau.com/,Personal Website/other, ,Low
29,podcast,Barry Ennis & Shay Kostabi,https://www.linkedin.com/in/barryennisbe,LinkedIn,https://www.linkedin.com/in/barryennisbe,Low
